HLA_list,ALL,AFR,AMR,EAS,EUR,SAS
HLA-A01:01,0.1404,0.0562,0.0831,0.0373,0.2344,0.3002
HLA-A01:02,0.0078,0.0267,0.0027,NA,0.0019,NA
HLA-A01:89,4e-04,NA,NA,NA,NA,0.0018
HLA-A02:01,0.2336,0.2079,0.3807,0.1455,0.4442,0.0479
HLA-A02:02,0.0223,0.0702,0.0241,NA,NA,0.0018
HLA-A02:03,0.0249,NA,NA,0.0896,NA,0.035
HLA-A02:04,0.0019,NA,0.0134,NA,NA,NA
HLA-A02:05,0.0134,0.0253,0.0188,0.0037,0.0057,0.011
HLA-A02:06,0.0234,NA,0.0268,0.0672,0.0019,0.0295
HLA-A02:07,0.0338,NA,NA,0.1698,NA,NA
HLA-A02:08,NA,NA,NA,NA,NA,NA
HLA-A02:09,7e-04,NA,NA,NA,NA,0.0037
HLA-A02:10,4e-04,NA,NA,0.0019,NA,NA
HLA-A02:11,0.0278,0.0014,0.0456,NA,NA,0.105
HLA-A02:110,7e-04,NA,NA,NA,NA,0.0037
HLA-A02:13,NA,NA,NA,NA,NA,NA
HLA-A02:14,4e-04,0.0014,NA,NA,NA,NA
HLA-A02:147,NA,NA,NA,NA,NA,NA
HLA-A02:148,4e-04,NA,NA,0.0019,NA,NA
HLA-A02:17,0.0015,NA,0.0054,NA,0.0038,NA
HLA-A02:20,4e-04,NA,0.0027,NA,NA,NA
HLA-A02:22,0.0019,NA,0.0134,NA,NA,NA
HLA-A02:24,4e-04,NA,NA,NA,0.0019,NA
HLA-A02:39,NA,NA,NA,NA,NA,NA
HLA-A02:60,7e-04,0.0028,NA,NA,NA,NA
HLA-A02:64,4e-04,NA,0.0027,NA,NA,NA
HLA-A03:01,0.0858,0.0913,0.1019,0.0187,0.155,0.0663
HLA-A03:02,0.0022,0.0014,NA,0.0019,0.0019,0.0055
HLA-A11:01,0.0958,0.0014,0.0295,0.2444,0.0359,0.1768
HLA-A11:02,0.0037,NA,NA,0.0187,NA,NA
HLA-A11:03,4e-04,NA,NA,NA,NA,0.0018
HLA-A11:64,NA,NA,NA,NA,NA,NA
HLA-A23:01,0.0379,0.111,0.0295,NA,0.0132,0.0092
HLA-A23:05,4e-04,0.0014,NA,NA,NA,NA
HLA-A23:15,4e-04,0.0014,NA,NA,NA,NA
HLA-A23:17,0.0059,0.0211,0.0027,NA,NA,NA
HLA-A24:01,NA,NA,NA,NA,NA,NA
HLA-A24:02,0.0709,0.0112,0.1046,0.1418,0.0378,0.0884
HLA-A24:03,7e-04,NA,0.0054,NA,NA,NA
HLA-A24:04,4e-04,NA,NA,0.0019,NA,NA
HLA-A24:07,0.003,NA,NA,0.0037,NA,0.011
HLA-A24:08,NA,NA,NA,NA,NA,NA
HLA-A24:10,4e-04,NA,NA,0.0019,NA,NA
HLA-A24:17,4e-04,NA,NA,NA,NA,0.0018
HLA-A24:20,4e-04,NA,NA,0.0019,NA,NA
HLA-A24:24,4e-04,0.0014,NA,NA,NA,NA
HLA-A24:25,NA,NA,NA,NA,NA,NA
HLA-A24:33,NA,NA,NA,NA,NA,NA
HLA-A24:53,NA,NA,NA,NA,NA,NA
HLA-A25:01,0.0011,NA,0.0027,NA,0.0038,NA
HLA-A26:01,0.0204,0.0183,0.008,0.0168,0.0189,0.0368
HLA-A26:02,7e-04,NA,NA,0.0037,NA,NA
HLA-A26:03,4e-04,NA,NA,0.0019,NA,NA
HLA-A26:08,NA,NA,NA,NA,NA,NA
HLA-A29:01,0.003,NA,0.0027,0.0075,0.0019,0.0037
HLA-A29:02,0.0123,0.0183,0.0375,NA,0.0113,NA
HLA-A29:32,NA,NA,NA,NA,NA,NA
HLA-A30:01,0.0241,0.0772,0.0027,0.0075,0.0057,0.0037
HLA-A30:02,0.0145,0.0449,0.0134,NA,0.0038,NA
HLA-A30:04,4e-04,NA,NA,NA,0.0019,NA
HLA-A30:07,4e-04,0.0014,NA,NA,NA,NA
HLA-A30:10,NA,NA,NA,NA,NA,NA
HLA-A31:01,0.0063,0.0028,0.0134,0.0075,0.0057,0.0055
HLA-A31:04,NA,NA,NA,NA,NA,NA
HLA-A31:12,NA,NA,NA,NA,NA,NA
HLA-A31:16,NA,NA,NA,NA,NA,NA
HLA-A32:01,0.0037,0.007,NA,NA,0.0038,0.0055
HLA-A33:01,0.0052,0.0154,0.008,NA,NA,NA
HLA-A33:03,0.0201,0.0421,0.0027,0.0037,NA,0.0387
HLA-A33:61,NA,NA,NA,NA,NA,NA
HLA-A34:01,NA,NA,NA,NA,NA,NA
HLA-A34:02,0.0126,0.0463,0.0027,NA,NA,NA
HLA-A36:01,0.0033,0.0126,NA,NA,NA,NA
HLA-A66:01,0.0074,0.0267,NA,NA,0.0019,NA
HLA-A66:02,0.0048,0.0183,NA,NA,NA,NA
HLA-A66:03,0.0015,0.0056,NA,NA,NA,NA
HLA-A68:01,0.0026,NA,0.0107,NA,NA,0.0055
HLA-A68:02,0.0011,0.0042,NA,NA,NA,NA
HLA-A68:03,NA,NA,NA,NA,NA,NA
HLA-A68:15,NA,NA,NA,NA,NA,NA
HLA-A68:17,NA,NA,NA,NA,NA,NA
HLA-A69:01,7e-04,NA,NA,NA,0.0038,NA
HLA-A74:01,0.0059,0.0225,NA,NA,NA,NA
HLA-A74:02,NA,NA,NA,NA,NA,NA
HLA-A74:03,4e-04,0.0014,NA,NA,NA,NA
HLA-A80:01,NA,NA,NA,NA,NA,NA
HLA-B07:02,0.0579,0.0569,0.0563,0.0252,0.1144,0.0378
HLA-B07:05,0.0067,NA,0.0054,0.0177,0.0028,0.0092
HLA-B07:06,0.0054,0.0035,0.0027,0.0065,9e-04,0.0129
HLA-B08:01,0.0371,0.026,0.0255,0.0047,0.0822,0.0479
HLA-B13:01,0.0134,NA,NA,0.055,NA,0.012
HLA-B13:02,0.0143,0.0119,0.0054,0.014,0.0284,0.0101
HLA-B14:01,0.0045,0.0035,0.008,9e-04,0.0113,NA
HLA-B14:02,0.0128,0.0098,0.0523,NA,0.0151,NA
HLA-B14:03,6e-04,0.0021,NA,NA,NA,NA
HLA-B15:01,0.0245,0.0021,0.0268,0.0345,0.0529,0.0147
HLA-B15:02,0.0184,NA,NA,0.0457,NA,0.046
HLA-B15:03,0.0169,0.059,0.008,NA,9e-04,NA
HLA-B15:04,0.0033,NA,0.0241,NA,NA,NA
HLA-B15:05,0.0028,NA,0.0027,NA,NA,0.012
HLA-B15:07,0.0013,NA,NA,0.0065,NA,NA
HLA-B15:08,0.0022,NA,NA,NA,NA,0.011
HLA-B15:09,2e-04,NA,NA,NA,9e-04,NA
HLA-B15:10,0.0119,0.0421,0.0013,0.0019,9e-04,NA
HLA-B15:11,0.0013,NA,NA,0.0065,NA,NA
HLA-B15:12,0.0011,NA,NA,0.0056,NA,NA
HLA-B15:15,7e-04,NA,0.0054,NA,NA,NA
HLA-B15:16,0.0043,0.0119,0.008,NA,NA,NA
HLA-B15:17,0.0063,0.0049,0.0054,9e-04,0.0057,0.0147
HLA-B15:18,0.0074,0.0021,0.0027,0.0121,0.0019,0.0184
HLA-B15:20,2e-04,NA,0.0013,NA,NA,NA
HLA-B15:21,2e-04,NA,NA,9e-04,NA,NA
HLA-B15:212,2e-04,NA,NA,NA,NA,9e-04
HLA-B15:220,7e-04,0.0021,NA,NA,NA,9e-04
HLA-B15:25,0.0037,NA,NA,0.0131,NA,0.0055
HLA-B15:27,6e-04,NA,NA,0.0028,NA,NA
HLA-B15:32,7e-04,NA,NA,NA,NA,0.0037
HLA-B15:35,4e-04,NA,0.0013,9e-04,NA,NA
HLA-B15:37,2e-04,7e-04,NA,NA,NA,NA
