sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-OR-A5J1-01A-11R-A29S-07,10.832,0.4521,0.1959,9.2522,7.749,7.1008,0.1645,0.0453,3.0136,5.9507,ACC
TCGA-OR-A5J2-01A-11R-A29S-07,11.2278,0.6083,0.489,8.3556,8.0052,7.2979,0.5614,0.4258,3.2178,5.4138,ACC
TCGA-OR-A5J3-01A-11R-A29S-07,11.6309,0.4153,0,9.8864,9.3334,8.4964,0.059,0.1746,3.9382,5.3055,ACC
TCGA-OR-A5J5-01A-11R-A29S-07,8.1644,0.1285,0.0363,8.4402,7.9664,6.6354,0.0849,0.0783,2.4952,4.7309,ACC
TCGA-OR-A5J6-01A-31R-A29S-07,11.9671,0.4772,0.3223,9.4817,9.5053,8.4544,0.1474,0.6463,5.3385,5.5188,ACC
TCGA-OR-A5J7-01A-11R-A29S-07,11.3826,0.4572,0.0304,8.8633,8.7007,8.4119,0.1455,0.0125,4.2584,6.3322,ACC
TCGA-OR-A5J8-01A-11R-A29S-07,13.0421,1.6307,2.0494,9.7819,10.519,9.7807,1.5987,2.6588,5.5777,6.2094,ACC
TCGA-OR-A5J9-01A-11R-A29S-07,11.3839,0.0949,0.0608,8.4022,7.9562,6.9986,0.1502,0.0862,2.7062,5.3932,ACC
TCGA-OR-A5JA-01A-11R-A29S-07,13.0448,0.2989,0.0378,10.6095,11.3485,10.5852,0.1709,0.2694,5.5051,5.9071,ACC
TCGA-OR-A5JB-01A-11R-A29S-07,12.8948,3.0123,1.3685,10.4753,10.7758,10.317,1.4748,2.0894,6.939,7.2955,ACC
TCGA-OR-A5JC-01A-11R-A29S-07,12.2336,0.7545,0.0456,10.5128,10.2538,9.3278,0.0368,0.275,3.5418,5.3421,ACC
TCGA-OR-A5JD-01A-11R-A29S-07,10.6493,0.7177,0.5828,7.5401,7.5121,6.5506,0.3822,0.1296,2.5624,4.5421,ACC
TCGA-OR-A5JE-01A-11R-A29S-07,11.477,0.6184,0.0335,9.1646,9.2958,8.9571,0.2123,0.107,5.1499,5.5444,ACC
TCGA-OR-A5JF-01A-11R-A29S-07,11.1329,0.7277,0.0253,9.1248,8.3629,7.9876,0.0257,0.1741,3.454,4.8309,ACC
TCGA-OR-A5JG-01A-11R-A29S-07,11.0598,0.2157,0.0159,6.1168,7.9889,6.7673,0.1609,0.1726,3.1411,4.6405,ACC
TCGA-OR-A5JI-01A-11R-A29S-07,10.507,0.2197,0.3799,9.2962,7.8141,8.0894,0.2779,0.243,2.6151,5.2125,ACC
TCGA-OR-A5JJ-01A-11R-A29S-07,11.6205,0.3669,0.4103,8.5313,9.3664,9.3302,0.6209,0.354,4.2022,5.2428,ACC
TCGA-OR-A5JK-01A-11R-A29S-07,13.8182,1.0662,1.3594,10.7268,10.411,9.5183,2.3086,0.7054,4.4473,5.3871,ACC
TCGA-OR-A5JL-01A-11R-A29S-07,14.3052,0.7908,0.0345,11.2617,11.8071,11.0411,0.1762,0.3634,5.4962,5.8485,ACC
TCGA-OR-A5JM-01A-11R-A29S-07,11.2941,0.6968,0,7.9355,7.5111,8.479,0,0.0339,3.7726,5.8999,ACC
TCGA-OR-A5JO-01A-11R-A29S-07,13.7304,1.6863,0.3899,10.9435,11.6412,10.4143,0.5311,1.7097,5.1289,6.6144,ACC
TCGA-OR-A5JP-01A-11R-A29S-07,10.575,0.2369,0,8.1458,7.4952,7.0727,0.0255,0.1186,4.2655,4.7748,ACC
TCGA-OR-A5JQ-01A-11R-A29S-07,11.8973,0.6567,0.561,9.4203,8.8793,8.0614,0.8362,0.6177,3.8769,5.4424,ACC
TCGA-OR-A5JR-01A-11R-A29S-07,13.1229,0.8754,0.1792,9.9346,10.7892,9.488,0.1555,1.0601,3.8866,5.7037,ACC
TCGA-OR-A5JS-01A-11R-A29S-07,12.4469,0.5271,0.0519,8.5288,7.8926,8.1658,0.5937,0.0286,5.3132,6.1566,ACC
TCGA-OR-A5JT-01A-11R-A29S-07,13.3881,0.8818,0.1563,10.636,11.3099,10.3448,0.0406,0.4135,4.3547,6.3043,ACC
TCGA-OR-A5JV-01A-11R-A29S-07,13.4021,1.4647,1.1033,10.3464,10.8838,9.9934,0.7964,0.7514,4.4883,5.663,ACC
TCGA-OR-A5JW-01A-11R-A29S-07,11.4977,0.7134,0,8.9542,8.6735,8.6284,0.0635,0.2648,4.5961,5.7547,ACC
