sample,weakBinder,canType
TCGA-XF-A9SU-01,2402,BLCA
TCGA-DK-AA6R-01,2566,BLCA
TCGA-E7-A677-01,13289,BLCA
TCGA-FD-A6TG-01,2326,BLCA
TCGA-CF-A47Y-01,14981,BLCA
TCGA-G2-AA3D-01,11324,BLCA
TCGA-BT-A20J-01,2283,BLCA
TCGA-DK-A6AV-01,8385,BLCA
TCGA-XF-A8HE-01,9848,BLCA
TCGA-FD-A5BU-01,1190,BLCA
TCGA-UY-A8OD-01,8426,BLCA
TCGA-GC-A3YS-01,8050,BLCA
TCGA-S5-A6DX-01,2894,BLCA
TCGA-CF-A8HY-01,1785,BLCA
TCGA-FD-A43P-01,6454,BLCA
TCGA-LT-A5Z6-01,34241,BLCA
TCGA-DK-A3WX-01,10802,BLCA
TCGA-FD-A3SQ-01,5985,BLCA
TCGA-DK-A1AC-01,5628,BLCA
TCGA-E7-A8O7-01,9424,BLCA
TCGA-GC-A6I1-01,1786,BLCA
TCGA-CU-A5W6-01,3369,BLCA
TCGA-DK-A3WY-01,5458,BLCA
TCGA-ZF-AA5N-01,3087,BLCA
TCGA-UY-A9PH-01,6820,BLCA
TCGA-GD-A76B-01,3614,BLCA
TCGA-BT-A20T-01,1834,BLCA
TCGA-DK-AA6M-01,2659,BLCA
TCGA-FD-A3B3-01,3093,BLCA
TCGA-FD-A43U-01,10703,BLCA
TCGA-ZF-AA4X-01,17414,BLCA
TCGA-GU-AATQ-01,6244,BLCA
TCGA-SY-A9G5-01,5094,BLCA
TCGA-ZF-AA5H-01,4801,BLCA
TCGA-FD-A5BS-01,1627,BLCA
TCGA-XF-AAMR-01,4193,BLCA
TCGA-FD-A3B6-01,2760,BLCA
TCGA-CF-A9FF-01,18587,BLCA
TCGA-ZF-AA51-01,9088,BLCA
TCGA-FD-A3B5-01,1749,BLCA
TCGA-FT-A3EE-01,2204,BLCA
TCGA-4Z-AA7W-01,1777,BLCA
TCGA-BT-A3PK-01,1948,BLCA
TCGA-FD-A5C1-01,1532,BLCA
TCGA-4Z-AA84-01,4906,BLCA
TCGA-XF-A9SY-01,3614,BLCA
TCGA-XF-A9SK-01,11013,BLCA
TCGA-XF-A9SH-01,9199,BLCA
TCGA-CF-A9FH-01,20777,BLCA
TCGA-E7-A85H-01,7939,BLCA
TCGA-E7-A4IJ-01,4291,BLCA
TCGA-GV-A40E-01,7143,BLCA
TCGA-UY-A78O-01,9797,BLCA
TCGA-ZF-AA4V-01,3046,BLCA
TCGA-DK-AA6X-01,11939,BLCA
TCGA-ZF-A9RE-01,7638,BLCA
TCGA-KQ-A41N-01,13520,BLCA
TCGA-XF-A9T3-01,2139,BLCA
TCGA-PQ-A6FN-01,2251,BLCA
TCGA-FD-A5BT-01,859,BLCA
TCGA-GC-A3RC-01,1122,BLCA
TCGA-FD-A6TC-01,3849,BLCA
TCGA-BT-A2LA-01,2891,BLCA
TCGA-BT-A42F-01,2989,BLCA
TCGA-FT-A61P-01,2086,BLCA
TCGA-XF-A9ST-01,3910,BLCA
TCGA-BT-A20U-01,518,BLCA
TCGA-H4-A2HQ-01,23974,BLCA
TCGA-DK-A2I2-01,1330,BLCA
TCGA-FD-A3B7-01,961,BLCA
TCGA-BT-A0S7-01,740,BLCA
TCGA-XF-A9SX-01,1343,BLCA
TCGA-FD-A62S-01,2170,BLCA
TCGA-CF-A7I0-01,20165,BLCA
TCGA-BT-A0YX-01,1965,BLCA
TCGA-DK-A1A6-01,2670,BLCA
TCGA-GU-A767-01,5529,BLCA
TCGA-CU-A0YO-01,446,BLCA
TCGA-XF-A9SM-01,2613,BLCA
TCGA-GV-A3JX-01,4879,BLCA
TCGA-G2-A2EL-01,7870,BLCA
TCGA-YC-A89H-01,3776,BLCA
TCGA-4Z-AA82-01,2388,BLCA
TCGA-CF-A3MH-01,12911,BLCA
TCGA-UY-A9PE-01,11277,BLCA
TCGA-XF-A9T4-01,1503,BLCA
TCGA-DK-A1AF-01,1127,BLCA
TCGA-4Z-AA87-01,8885,BLCA
TCGA-GC-A3WC-01,11393,BLCA
TCGA-BT-A20W-01,10151,BLCA
TCGA-CU-A0YN-01,5676,BLCA
TCGA-4Z-AA7N-01,11375,BLCA
TCGA-GU-A763-01,6204,BLCA
TCGA-XF-AAN1-01,19934,BLCA
TCGA-UY-A78P-01,1504,BLCA
TCGA-CF-A9FM-01,7215,BLCA
TCGA-G2-AA3B-01,5208,BLCA
TCGA-GU-A42R-01,12800,BLCA
TCGA-FD-A62O-01,11668,BLCA
TCGA-CU-A3KJ-01,4446,BLCA
TCGA-G2-A2EF-01,11444,BLCA
TCGA-2F-A9KT-01,24660,BLCA
TCGA-UY-A9PD-01,4473,BLCA
TCGA-FD-A3SN-01,2152,BLCA
TCGA-UY-A78M-01,4903,BLCA
TCGA-FD-A62P-01,2392,BLCA
TCGA-G2-AA3F-01,21540,BLCA
TCGA-E7-A5KE-01,26975,BLCA
TCGA-CF-A3MF-01,17062,BLCA
TCGA-DK-A3IK-01,13279,BLCA
TCGA-KQ-A41P-01,11700,BLCA
TCGA-DK-A2I4-01,1621,BLCA
TCGA-MV-A51V-01,7670,BLCA
TCGA-4Z-AA7M-01,42390,BLCA
TCGA-ZF-A9RD-01,532,BLCA
TCGA-GD-A6C6-01,1717,BLCA
TCGA-DK-A2HX-01,1298,BLCA
TCGA-XF-A9SW-01,717,BLCA
TCGA-DK-AA6Q-01,2853,BLCA
TCGA-ZF-A9R4-01,7610,BLCA
TCGA-XF-AAMH-01,2754,BLCA
TCGA-DK-AA6W-01,13542,BLCA
TCGA-E7-A678-01,4395,BLCA
TCGA-K4-A5RJ-01,5662,BLCA
TCGA-GV-A3JW-01,18852,BLCA
TCGA-DK-A3IN-01,2077,BLCA
TCGA-DK-AA76-01,9694,BLCA
TCGA-CF-A5U8-01,10292,BLCA
TCGA-UY-A8OC-01,2364,BLCA
TCGA-BT-A3PJ-01,3383,BLCA
TCGA-FD-A6TE-01,6569,BLCA
TCGA-LC-A66R-01,3414,BLCA
TCGA-XF-A9T2-01,5239,BLCA
TCGA-ZF-AA56-01,1474,BLCA
